Sector,Sub-Sector,Technology,Euro No.,Pollutant,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Ita,Thita,RF,Vmin,Vmax,Equation
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6c,PM,2.649868017197330E-13,-4.068513833779710E-11,1.550609773982010E-09,1.426961639126630E-07,-2.504186523402750E-05,2.454451667443230E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline >2.0 l,PC Euro 6 - EC 715/2007,6c,PM,2.649868017197330E-13,-4.068513833779710E-11,1.550609773982010E-09,1.426961639126630E-07,-2.504186523402750E-05,2.454451667443230E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Diesel <1.4 l,PC Euro 5 - EC 715/2007,5,PM,1.167043929238390E-03,1.061227735651050E+01,-6.483630739789640E+00,5.674980819808850E-01,1.226054533428930E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 6
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 5 - EC 715/2007,5,PM,1.167043929238390E-03,1.061227735651050E+01,-6.483630739789640E+00,5.674980819808850E-01,1.226054533428930E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 6
Passenger Cars,Diesel >2.0 l,PC Euro 5 - EC 715/2007,5,PM,1.167043929238390E-03,1.061227735651050E+01,-6.483630739789640E+00,5.674980819808850E-01,1.226054533428930E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 6
Passenger Cars,Diesel <1.4 l,PC Euro 6 - EC 715/2007,6,PM,-1.209667847724600E+18,1.629629883697830E+20,1.785796736994420E+18,2.893480214659350E+19,1.167184393406650E+16,4.088705182861920E+18,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6,PM,-1.209667847724600E+18,1.629629883697830E+20,1.785796736994420E+18,2.893480214659350E+19,1.167184393406650E+16,4.088705182861920E+18,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel >2.0 l,PC Euro 6 - EC 715/2007,6,PM,-1.209667847724600E+18,1.629629883697830E+20,1.785796736994420E+18,2.893480214659350E+19,1.167184393406650E+16,4.088705182861920E+18,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel <1.4 l,PC Euro 6 - EC 715/2007,6c,PM,-1.209667847724600E+18,1.629629883697830E+20,1.785796736994420E+18,2.893480214659350E+19,1.167184393406650E+16,4.088705182861920E+18,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6c,PM,-1.209667847724600E+18,1.629629883697830E+20,1.785796736994420E+18,2.893480214659350E+19,1.167184393406650E+16,4.088705182861920E+18,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel >2.0 l,PC Euro 6 - EC 715/2007,6c,PM,-1.209667847724600E+18,1.629629883697830E+20,1.785796736994420E+18,2.893480214659350E+19,1.167184393406650E+16,4.088705182861920E+18,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
